"Data e Hora","Chuva (mm) - Último","Chuva (mm) - 1h","Chuva (mm) - 4h","Chuva (mm) - 24h","Chuva (mm) - 96h","Chuva (mm) - 30d","Nível do rio (m) - Último"
"02/11/2024 21:00","0.0","0.0","0.0","0.0","6.2","35.6","1.23"
"02/11/2024 20:45","0.0","0.0","0.0","0.0","6.8","35.6","1.23"
"02/11/2024 20:30","0.0","0.0","0.0","0.0","6.8","35.6","1.23"
"02/11/2024 20:15","0.0","0.0","0.0","0.0","7.0","35.6","1.23"
"02/11/2024 20:00","0.0","0.0","0.0","0.0","7.0","35.6","1.23"
"02/11/2024 19:45","0.0","0.0","0.0","0.0","7.0","35.6","1.23"
"02/11/2024 19:30","0.0","0.0","0.0","0.0","7.0","35.6","1.23"
"02/11/2024 19:15","0.0","0.0","0.0","0.0","7.0","35.6","1.23"
"02/11/2024 19:00","0.0","0.0","0.0","0.0","7.0","35.6","1.23"
"02/11/2024 18:45","0.0","0.0","0.0","0.0","7.0","35.6","1.23"
"02/11/2024 18:30","0.0","0.0","0.0","0.0","7.0","35.6","1.23"
"02/11/2024 18:15","0.0","0.0","0.0","0.0","7.0","35.6","1.23"
"02/11/2024 18:00","0.0","0.0","0.0","0.0","7.0","35.6","1.23"
"02/11/2024 17:45","0.0","0.0","0.0","0.0","7.0","35.6","1.23"
"02/11/2024 17:30","0.0","0.0","0.0","0.0","7.0","35.6","1.23"
"02/11/2024 17:15","0.0","0.0","0.0","0.0","7.0","35.6","1.23"
"02/11/2024 17:00","0.0","0.0","0.0","0.0","7.0","35.6","1.23"
"02/11/2024 16:45","0.0","0.0","0.0","0.0","7.0","35.6","1.23"
"02/11/2024 16:30","0.0","0.0","0.0","0.0","7.0","35.6","1.23"
"02/11/2024 16:15","0.0","0.0","0.0","0.0","7.0","35.6","1.23"
"02/11/2024 16:00","0.0","0.0","0.0","0.0","7.0","35.6","1.23"
"02/11/2024 15:45","0.0","0.0","0.0","0.0","7.2","35.6","1.23"
"02/11/2024 15:30","0.0","0.0","0.0","0.0","7.2","35.6","1.23"
"02/11/2024 15:15","0.0","0.0","0.0","0.0","7.8","35.6","1.23"
"02/11/2024 15:00","0.0","0.0","0.0","0.0","8.8","35.6","1.23"
"02/11/2024 14:45","0.0","0.0","0.0","0.0","10.0","35.6","1.23"
"02/11/2024 14:30","0.0","0.0","0.0","0.0","10.2","35.6","1.23"
"02/11/2024 14:15","0.0","0.0","0.0","0.0","11.0","35.6","1.23"
"02/11/2024 14:00","0.0","0.0","0.0","0.0","11.0","35.6","1.23"
"02/11/2024 13:45","0.0","0.0","0.0","0.0","11.4","35.6","1.23"
"02/11/2024 13:30","0.0","0.0","0.0","0.0","11.8","35.6","1.23"
"02/11/2024 13:15","0.0","0.0","0.0","0.0","12.2","35.6","1.23"
"02/11/2024 13:00","0.0","0.0","0.0","0.0","13.2","35.6","1.23"
"02/11/2024 12:45","0.0","0.0","0.0","0.0","15.0","35.6","1.22"
"02/11/2024 12:30","0.0","0.0","0.0","0.0","15.8","35.6","1.22"
"02/11/2024 12:15","0.0","0.0","0.0","0.0","18.0","35.6","1.22"
"02/11/2024 12:00","0.0","0.0","0.0","0.0","18.0","35.6","1.22"
"02/11/2024 11:45","0.0","0.0","0.0","0.0","18.8","35.6","1.22"
"02/11/2024 11:30","0.0","0.0","0.0","0.0","18.8","35.6","1.22"
"02/11/2024 11:15","0.0","0.0","0.0","0.0","19.2","35.6","1.22"
"02/11/2024 11:00","0.0","0.0","0.0","0.0","19.6","35.6","1.22"
"02/11/2024 10:45","0.0","0.0","0.0","0.0","20.2","35.6","1.22"
"02/11/2024 10:30","0.0","0.0","0.0","0.0","20.6","35.6","1.22"
"02/11/2024 10:15","0.0","0.0","0.0","0.0","20.8","35.6","1.22"
"02/11/2024 10:00","0.0","0.0","0.0","0.0","21.2","35.6","1.23"
"02/11/2024 09:45","0.0","0.0","0.0","0.0","21.4","35.6","1.23"
"02/11/2024 09:30","0.0","0.0","0.0","0.0","21.4","35.6","1.23"
